GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1600000US0107000,0107000,"Birmingham city, Alabama",88192,3684,42303,2740,45889,2448
1600000US0121184,0121184,"Dothan city, Alabama",25231,1080,15036,751,10195,821
1600000US0135896,0135896,"Hoover city, Alabama",31087,1775,20344,1495,10743,1486
1600000US0137000,0137000,"Huntsville city, Alabama",75912,2226,45355,1998,30557,1937
1600000US0150000,0150000,"Mobile city, Alabama",76617,2724,41767,1999,34850,2335
1600000US0151000,0151000,"Montgomery city, Alabama",81379,1837,46379,2210,35000,2376
1600000US0177256,0177256,"Tuscaloosa city, Alabama",31769,2007,15569,1518,16200,1834
1600000US0203000,0203000,"Anchorage municipality, Alaska",105569,1780,63354,2779,42215,2614
1600000US0404720,0404720,"Avondale city, Arizona",22706,1116,12719,1510,9987,1381
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",28130,1455,18054,1327,10076,1186
1600000US0412000,0412000,"Chandler city, Arizona",86891,2951,53289,2429,33602,2296
1600000US0423620,0423620,"Flagstaff city, Arizona",22879,1550,10136,1251,12743,1307
1600000US0427400,0427400,"Gilbert town, Arizona",72621,2262,50499,2651,22122,2143
1600000US0427820,0427820,"Glendale city, Arizona",80385,2595,44566,2577,35819,2478
1600000US0428380,0428380,"Goodyear city, Arizona",23400,1677,16763,2001,6637,1373
1600000US0446000,0446000,"Mesa city, Arizona",167435,3848,100935,3795,66500,3093
1600000US0454050,0454050,"Peoria city, Arizona",56870,2143,39536,2183,17334,2020
1600000US0455000,0455000,"Phoenix city, Arizona",521555,6541,276136,6543,245419,6222
1600000US0464210,0464210,"San Tan Valley CDP, Arizona",24066,2188,16120,1832,7946,1787
1600000US0465000,0465000,"Scottsdale city, Arizona",100862,2901,66101,3213,34761,2395
1600000US0471510,0471510,"Surprise city, Arizona",41846,2327,31328,2508,10518,1359
1600000US0473000,0473000,"Tempe city, Arizona",64406,3052,27594,2066,36812,2496
1600000US0477000,0477000,"Tucson city, Arizona",203252,4322,100371,3709,102881,4185
1600000US0485540,0485540,"Yuma city, Arizona",33532,1685,19278,1613,14254,1506
1600000US0523290,0523290,"Fayetteville city, Arkansas",33667,2125,14166,1791,19501,2073
1600000US0524550,0524550,"Fort Smith city, Arkansas",34964,1377,18157,1614,16807,1547
1600000US0535710,0535710,"Jonesboro city, Arkansas",27626,1093,15729,1207,11897,1237
1600000US0541000,0541000,"Little Rock city, Arkansas",78823,2891,44877,2716,33946,2769
1600000US0566080,0566080,"Springdale city, Arkansas",24308,1461,12680,1421,11628,1471
1600000US0600562,0600562,"Alameda city, California",30582,1547,13736,1281,16846,1457
1600000US0600884,0600884,"Alhambra city, California",29217,1574,11761,1285,17456,1454
1600000US0602000,0602000,"Anaheim city, California",98156,3276,44315,2706,53841,2657
1600000US0602252,0602252,"Antioch city, California",33563,1593,20789,1915,12774,1400
1600000US0602364,0602364,"Apple Valley town, California",22603,1452,13651,1223,8952,1379
1600000US0602553,0602553,"Arden-Arcade CDP, California",39940,2428,17633,1543,22307,2290
1600000US0603526,0603526,"Bakersfield city, California",111053,2739,63168,2655,47885,2905
1600000US0603666,0603666,"Baldwin Park city, California",17397,943,10013,953,7384,1026
1600000US0604982,0604982,"Bellflower city, California",23680,1290,8185,952,15495,1252
1600000US0606000,0606000,"Berkeley city, California",45674,1831,19348,1317,26326,1680
1600000US0608786,0608786,"Buena Park city, California",23548,1271,13894,1441,9654,1219
1600000US0608954,0608954,"Burbank city, California",40484,1434,17498,1437,22986,1662
1600000US0610046,0610046,"Camarillo city, California",24226,1518,17465,1486,6761,1097
1600000US0611194,0611194,"Carlsbad city, California",43309,2130,25629,2545,17680,2091
1600000US0611530,0611530,"Carson city, California",24646,1295,18381,1409,6265,1074
1600000US0613014,0613014,"Chico city, California",33405,1758,14262,1516,19143,1741
1600000US0613210,0613210,"Chino city, California",22287,1578,14838,1314,7449,1227
1600000US0613214,0613214,"Chino Hills city, California",23594,1431,19464,1553,4130,1030
1600000US0613392,0613392,"Chula Vista city, California",75942,2830,45161,2783,30781,2655
1600000US0613588,0613588,"Citrus Heights city, California",33628,1464,18198,1486,15430,1329
1600000US0614218,0614218,"Clovis city, California",33177,1503,19125,1555,14052,1335
1600000US0615044,0615044,"Compton city, California",22834,1046,12881,1035,9953,1052
1600000US0616000,0616000,"Concord city, California",44634,2116,25235,2195,19399,1939
